Mol,Temp,y,y_pred
006hydr_26,363.15,-9.144209198,-8.408861
101dime_406,273.15,-2.637622407,-2.86663
0078pen_carbontet,298.0,-4.81,-3.8906655
0113pen,298.0,-4.1,-4.263254
103brom_414,273.15,-1.176487204,-1.1348653
135dich_572,318.15,-2.761728623,-3.3285809
228dime_933,342.95,-5.642854251,-5.538574
180meth_733,293.15,-4.561707147,-4.614662
245pyri_978,303.15,-4.576205356,-4.3044453
087meth_361,282.85,-5.457436485,-5.7354527
058phen_233,313.15,-5.930649216,-5.51137
199diet_798,273.15,-7.431579813,-6.9368916
148chlo_615,303.15,-0.995258725,-0.9791595
037hept_141,353.65,-1.920120026,-2.1684322
067anil_274,298.15,-6.301464477,-6.0803747
019dich_90,347.65,1.152323078,0.8631115
0087pro_carbontet,298.0,-4.09,-3.6137009
101dime_406,312.75,-1.302793396,-1.3344598
"1,3-butadiene_methanol",298.0,-2.15,-2.312056
206prop_838,282.25,-3.04475784,-2.6509569
183vale_749,303.15,-3.451331863,-3.1873312
044hept_177,283.35,-4.627741048,-4.7924786
154meth_632,343.45,-1.678169048,-2.0947165
208tetr_850,293.15,-2.619733927,-2.8507872
242tric_970,291.15,-0.70258131,-0.76642764
211pent_864,282.25,-3.047742019,-3.3227546
031pent_128,298.15,-3.446102861,-3.2001338
test1061,298.0,-8.0,-8.024134
104buty_415,323.95,-1.075746271,-1.1544204
059dich_237,353.15,-0.286631354,-0.4114679
199diet_798,302.85,-6.245631389,-6.0475287
233tetr_950,273.15,2.451294484,1.9741006
139dich_584,298.15,-4.19630428,-3.9438527
204meth_822,353.25,-1.66185728,-1.7437344
095pent_387,343.25,-2.346348812,-1.9037876
156ethy_639,312.65,-2.349654081,-2.4902267
255cycl_1006,303.15,0.880409691,0.7235217
087meth_361,343.65,-3.467190824,-3.4745572
242tric_970,279.15,-1.050747291,-0.968498
092meth_382,293.15,-4.774856876,-4.725412
172pent_692,353.25,-1.001288754,-0.8545433
181diis_741,333.15,-1.797941693,-2.0688453
242tric_970,323.15,0.041186682,-0.17117977
0104dim_carbontet,298.0,-2.75,-2.606194
092meth_382,313.15,-4.223956291,-4.1158676
188pent_765,353.15,-2.532628227,-2.5998178
006hydr_26,273.15,-10.78946824,-10.49522
226ethy_921,282.95,-3.415733713,-3.4887567
0413clt,298.0,-1.15,-1.4139208
023hexa_94,323.54,-0.029201355,0.6755123
105ethy_425,333.25,-2.728419464,-2.5177302
test0011,298.0,-6.0,-5.5604076
133acet_570,282.15,-4.217515406,-3.8768783
0012met,298.0,2.52,2.264073
107meth_432,319.35,-5.16605622,-4.8040814
035oxyl_138,343.0,-0.006255404,0.16342187
212chlo_874,343.15,0.051536175,-0.09791136
074octa_295,298.15,2.926395891,2.5960102
181diis_741,363.15,-0.841692096,-1.307338
037hept_141,323.15,-2.884875132,-2.9097488
135dich_572,288.15,-3.740361212,-4.227445
054trif_228,273.15,-4.959301016,-4.998932
163cycl_666,283.0,-0.04,-0.1316731
004isob_15,273.15,-3.857655414,-3.550158
0089pen,298.0,-6.16,-6.3844304
0016cyc,298.0,0.75,0.78966045
100tetr_405,303.15,2.03889669,2.2676783
0409clb,298.0,0.07,-0.2613206
233tetr_950,353.15,3.914931203,3.8745947
047prop_200,305.15,1.311890157,1.2004323
013hept_55,273.15,-5.171323436,-5.3089056
0045eth_chloroform,298.0,-3.94,-3.6662962
107meth_432,288.1,-5.743542993,-5.3958626
214acry_885,303.15,-3.142908664,-3.1158018
238form_957,298.0,-6.627031796,-6.3274474
056buta_230,283.19,-5.059753233,-4.9979086
045meth_187,293.15,0.658894474,0.16707706
212chlo_874,303.15,-0.483434763,-0.6071671
test4007,298.0,-0.25,-0.5590708
160nndi_659,323.15,-2.824183762,-2.8144484
122pipe_500,303.15,-7.1328148,-6.5774903
177trie_722,333.15,-1.633802247,-1.8159776
087meth_361,273.15,-5.845092077,-6.1794496
214acry_885,341.15,-2.803291617,-2.748682
121meth_491,322.95,-2.242145271,-2.2186704
241fluo_969,298.15,-0.787782873,-0.75629663
0233ethb,298.0,-9.71,-9.222574
015quin_71,373.15,-2.500436063,-2.524657
129naph_551,298.0,-2.404286607,-2.5276089
242tric_970,294.75,-0.614384877,-0.70270276
023hexa_94,313.74,-0.067567334,0.4056275
083hexa_352,283.15,1.934501778,1.5267453
168nitr_678,313.15,-3.329484575,-3.0942507
067anil_274,323.15,-5.79005708,-5.833563
0162tri_chloroform,298.0,-4.13,-3.3062344
156ethy_639,302.85,-2.610678747,-2.667446
154meth_632,302.85,-2.602390349,-2.7086587
165chlo_671,353.15,0.847706505,0.6782737
184carb_752,303.15,0.486462129,0.26546335
099prop_404,298.65,2.021197816,1.658643
061cycl_241,313.15,-4.990587974,-5.1793838
209dich_853,363.15,-0.297609973,-0.3882271
103brom_414,303.15,-0.380692269,-0.7000705
264brom_1061,293.15,-0.819382842,-0.9249947
194pent_782,323.15,-0.827337948,-0.9399792
083hexa_352,373.15,4.036715106,3.6967292
139dich_584,288.15,-4.528343898,-4.2388887
209dich_853,373.15,-0.224360242,-0.29849422
006hydr_26,293.15,-10.27941135,-9.84428
214acry_885,312.15,-3.042265478,-3.033043
144morp_597,343.15,-5.854918894,-5.571726
165chlo_671,338.15,0.673236202,0.45278597
252phen_995,291.0,-3.938954943,-3.7769275
231ally_947,353.15,-3.035741166,-2.9036832
177trie_722,293.15,-3.253719342,-3.4291606
231ally_947,313.15,-3.449616757,-3.4650517
086acet_360,308.15,-3.974643897,-3.6577353
143dich_594,313.15,-1.53906649,-1.6618739
077meth_318,353.25,-2.614296905,-2.4531298
218tetr_891,293.15,-5.040111041,-4.78246
056buta_230,353.19,-3.253097234,-3.4515707
064prop_265,343.15,-3.218208619,-3.4065685
0157flu_carbontet,298.0,-3.64,-4.3639784
0038oxy_chloroform,298.0,-6.23,-5.21189
143dich_594,308.15,-1.621254134,-1.7645192
154meth_632,282.55,-3.199930097,-3.076652
006hydr_26,283.15,-10.52319112,-10.163616
186fluo_754,363.15,0.435978161,0.1372199
064prop_265,283.15,-4.843277289,-5.0618734
239cisd_958,274.95,-1.314532655,-1.5897624
244dich_977,293.15,-2.217478925,-2.1119356
197trif_794,313.15,-3.939876352,-3.8399494
221isop_900,303.15,-2.433372165,-2.5885139
112bisc_456,304.15,-3.364367901,-2.9409466
0571dim,298.0,-4.84,-4.8444986
128isop_541,323.15,-1.580542656,-1.6164676
268meth_1075,323.15,-3.357020088,-3.550629
047prop_200,295.15,1.115527158,1.0160258
129naph_551,303.2,-2.264663376,-2.3901367
0066dim,298.0,-4.84,-3.6419282
063octa_255,333.45,-2.36261152,-2.4161482
059dich_237,323.25,-0.72324708,-0.9223939
0151phy,298.0,-10.48,-9.826443
111prop_455,323.15,-2.928705277,-2.7916272
115nmet_477,353.15,-2.141447844,-2.4047444
