Name,ρV,N br,,N db,,N bz,,N OH,,N ph,,N Hal,N eth,,,N ald,,N ket,,Δμ PW hyd,,Δμ GF  hyd,,Δμ SDC+PW hyd,,Δμhyd SDC+GF,,Δμhyd  exp,,
2-methylbutan-1-ol,3.85,1,0,0,1,0,0,0,0,0,2.84,-6.87,-4.75,-4.79,-4.42,a
3-methylbutan-1-ol,3.88,1,0,0,1,0,0,0,0,0,3.74,-6.03,-3.90,-3.94,-4.42,a
4-methylpentan-2-ol,4.29,2,0,0,1,0,0,0,0,0,2.86,-7.92,-4.33,-4.17,-3.74,a
butan-1-ol,3.54,0,0,0,1,0,0,0,0,0,3.86,-4.88,-4.33,-4.38,-4.72,a
butan-2-ol,3.46,1,0,0,1,0,0,0,0,0,2.62,-6.06,-4.39,-4.23,-4.60,a
decan-1-ol,6.60,0,0,0,1,0,0,0,0,0,8.76,-6.62,-4.07,-4.17,-3.64,a
ethanol,2.47,0,0,0,1,0,0,0,0,0,1.63,-4.82,-4.95,-5.00,-5.00,a
heptan-1-ol,5.09,0,0,0,1,0,0,0,0,0,6.50,-5.56,-4.04,-4.08,-4.23,a
2-methylbutan-2-ol,3.78,2,0,0,1,0,0,0,0,0,2.52,-7.15,-3.91,-3.73,-4.43,b
2-methylpentan-2-ol,4.28,2,0,0,1,0,0,0,0,0,3.31,-7.50,-3.87,-3.76,-3.93,b
2-methylpentan-3-ol,4.26,2,0,0,1,0,0,0,0,0,3.57,-7.13,-3.59,-3.40,-3.89,b
2-methylpropan-1-ol,3.43,1,0,0,1,0,0,0,0,0,2.88,-5.72,-4.08,-3.91,-4.51,b
hexan-1-ol,4.57,0,0,0,1,0,0,0,0,0,5.69,-5.27,-4.07,-4.12,-4.39,b
hexan-3-ol,4.48,1,0,0,1,0,0,0,0,0,4.64,-6.33,-3.91,-3.85,-4.07,b
methanol,1.88,0,0,0,1,0,0,0,0,0,-0.07,-5.46,-5.76,-6.02,-5.11,b
nonan-1-ol,6.10,0,0,0,1,0,0,0,0,0,8.02,-6.24,-4.05,-4.12,-3.89,b
octan-1-ol,5.60,0,0,0,1,0,0,0,0,0,7.26,-5.88,-4.05,-4.08,-4.09,b
pentan-1-ol,4.05,0,0,0,1,0,0,0,0,0,4.71,-5.09,-4.25,-4.28,-4.52,b
pentan-2-ol,3.97,1,0,0,1,0,0,0,0,0,3.51,-6.29,-4.26,-4.13,-4.39,b
pentan-3-ol,3.93,1,0,0,1,0,0,0,0,0,3.23,-6.65,-4.49,-4.52,-4.35,b
propan-1-ol,3.02,0,0,0,1,0,0,0,0,0,3.10,-4.45,-4.32,-4.28,-4.83,b
propan-2-ol,2.97,1,0,0,1,0,0,0,0,0,2.29,-5.25,-3.97,-3.73,-4.76,b
