Mol,Temp,y,y_pred
231ally_947,343.15,-3.065662965,-2.840587
131hept_553,293.15,-3.2029699,-3.2014465
198isoq_797,310.15,-5.30054348,-5.1576834
037hept_141,313.45,-3.261570612,-3.2451615
114dipr_467,343.15,-0.033176233,-0.19587195
009hept_30,343.25,-2.568668828,-2.8589578
0183bro,298.0,-0.48,-0.8967172
0103eth_carbontet,298.0,-2.77,-1.9277813
0203bro,298.0,0.52,0.34039187
025meth_96,362.29,-2.940870956,-3.188375
271isob_1080,303.95,-2.007966703,-2.0185459
237nbut_954,308.15,-0.055724517,-0.1988151
126nitr_529,353.15,-2.601055896,-2.4095993
134brom_571,308.15,-1.245550445,-1.3142104
050meth_212,353.45,-2.727215941,-2.6493046
123dibu_505,293.15,-3.576660497,-3.4064312
266dime_1063,313.0,3.53,2.7218292
243meth_971,293.25,-4.737112909,-4.5655775
077meth_318,293.15,-4.363557785,-3.875173
218tetr_891,323.15,-4.237726559,-3.811997
204meth_822,273.15,-3.855429838,-3.6720846
182trim_748,343.14,0.258947148,0.18153358
255cycl_1006,304.15,0.903244138,0.48939872
102hexa_410,373.15,-1.86022859,-1.4928958
083hexa_352,313.15,2.673541725,2.825505
188pent_765,283.15,-4.64938435,-4.712483
120dibr_490,303.15,-1.86397772,-1.8267722
019dich_90,354.15,1.167159733,0.97291493
019dich_90,293.65,0.032747035,-0.112051725
257dime_1010,293.15,-2.006972625,-2.023798
238form_957,318.15,-6.29056192,-5.943485
016nona_72,353.45,-1.348117538,-1.3748978
121meth_491,292.25,-3.184583485,-2.984641
test1002,298.0,-5.0,-4.649416
0061tet,298.0,-3.47,-2.9557588
126nitr_529,333.15,-2.89893367,-2.7315426
0113pen,298.0,-4.1,-4.2531023
0163chl,298.0,-0.63,-0.42670977
056buta_230,323.19,-3.835954485,-4.001172
018buta_84,343.15,-3.555633585,-3.665484
257dime_1010,333.15,-1.282326011,-1.4653352
210buty_854,353.15,-0.44189707,-0.51810277
088tolu_370,288.0,-1.038253306,-0.9385431
096meth_391,298.15,-3.988149331,-3.9795475
072meth_293,285.05,1.822430337,1.5519905
004isob_15,303.15,-3.239877523,-2.7164927
test1057,298.0,-4.1,-4.040122
220tric_899,278.15,-1.104736165,-1.4160296
079octy_321,302.55,-2.421682337,-2.155243
cis-2-butene_methanol,298.0,-2.06,-1.8969315
204meth_822,323.25,-2.355004893,-2.1679068
0068ani_chloroform,298.0,-6.24,-5.574444
029pent_116,283.35,-4.77228686,-4.824959
258hexa_1012,364.65,-1.756560395,-1.5458128
