Mol,Temp,y,y_pred
105ethy_425,363.45,-2.047325142,-1.5242134
060dibr_238,298.15,-2.025318294,-1.9290149
120dibr_490,313.15,-1.688353211,-1.5622172
test1004,298.0,-1.8,-1.4131379
121meth_491,292.25,-3.184583485,-2.7024689
137ethy_576,282.15,-1.229893513,-1.3671647
228dime_933,302.85,-6.421453376,-6.3876696
093pyrr_383,293.15,-5.643323992,-5.2875333
136etha_574,283.15,-5.138860799,-4.5350604
031pent_128,333.25,-2.653820733,-2.1520844
test1028,298.0,-6.2,-5.4870167
167cisd_673,293.0,1.42,1.2231499
200meth_808,352.85,-2.800583088,-2.4863722
019dich_90,354.15,1.167159733,0.780516
196ethy_784,282.15,-2.620112307,-2.3272066
011pent_43,313.35,-3.996894224,-3.9683552
055nitr_229,333.15,-8.976451181,-8.354001
146hexa_604,353.15,-1.090081176,-0.70375645
116tran_482,303.0,2.06,2.0055952
019dich_90,311.65,0.491803932,0.22945464
104buty_415,282.45,-2.34364044,-2.06709
095pent_387,333.25,-2.540916889,-2.175659
038diis_151,313.95,-0.629103759,-0.6942654
0506nit,298.0,-3.95,-3.1609435
test0014,298.0,-3.54,-3.1108513
055nitr_229,303.15,-9.51889958,-8.771904
180meth_733,313.15,-3.858573643,-3.9455438
153ethy_629,328.65,-2.335128029,-2.3679166
076meth_314,283.15,-6.995403181,-6.833465
245pyri_978,373.15,-3.354841311,-3.6418877
025meth_96,362.29,-2.940870956,-2.940238
159chlo_656,314.25,-8.773288436,-6.850589
102hexa_410,303.15,-3.600284347,-3.4718204
254octa_1000,343.15,-2.96037008,-3.213037
114dipr_467,343.15,-0.033176233,-0.27134967
019dich_90,328.15,0.868055826,0.4733243
095pent_387,273.15,-4.068382873,-3.5699296
024chlo_95,273.15,-0.656939729,-0.11950946
053tetr_227,323.15,-0.717574579,-0.5206152
153ethy_629,343.15,-2.260234571,-2.2248163
0149mor_chloroform,298.0,-6.72,-5.294767
093pyrr_383,283.15,-5.989338306,-5.581814
024chlo_95,298.0,0.115436095,0.20669234
221isop_900,302.85,-2.4665075,-2.1630864
052diet_222,313.15,-1.235503058,-1.1839845
092meth_382,363.15,-3.19658638,-3.0979137
124meth_515,293.05,-5.210340265,-4.9693503
254octa_1000,303.15,-4.210814862,-4.309829
202meth_816,292.95,-2.212283613,-1.9044883
0148but,298.0,0.04,-0.64027464
135dich_572,298.15,-3.383198763,-3.5570116
111prop_455,303.15,-3.335733398,-3.0775309
0082hep_carbontet,298.0,-6.12,-5.044995
031pent_128,298.0,-3.446102861,-2.745329
173buty_702,298.15,-2.634518571,-2.128232
100tetr_405,323.15,2.437772548,2.3246784
040dime_157,298.0,2.361994571,2.0487204
0206tri,298.0,1.77,2.1059856
0414dcl,298.0,-2.73,-2.7227292
169tric_679,343.15,-1.127693718,-0.9067545
208tetr_850,333.15,-1.622110738,-1.5628155
153ethy_629,323.15,-2.388107883,-2.4578075
039dime_156,353.25,-1.506214066,-1.1275206
061cycl_241,304.15,-5.302576984,-4.9998875
cis-2-butene_methanol,298.0,-2.06,-1.7703178
175tetr_718,304.15,1.684808455,0.8844043
0413clt,298.0,-1.15,-1.2823294
034dibr_137,283.15,-2.265773755,-1.5355566
0179tri,298.0,-1.98,-1.8439784
011pent_43,353.15,-2.956979788,-2.8572316
0013dim,298.0,2.88,2.352561
097trim_399,308.0,-0.523649602,-0.68757045
062hexa_251,333.15,-3.739465926,-3.9588761
081hexa_332,363.35,-2.099824473,-2.1561573
038diis_151,304.15,-0.997818808,-0.90953314
0142die,298.0,-1.43,-1.3283728
198isoq_797,341.85,-4.690667667,-4.6655593
193meth_779,298.15,2.52116178,1.9631084
051buty_215,333.25,-1.46154928,-0.98733103
137ethy_576,285.25,-1.123881148,-1.2967867
181diis_741,353.15,-1.136220861,-1.256991
052diet_222,343.15,-0.662149683,-0.58489025
137ethy_576,373.14,0.599162961,0.38138986
187diet_755,312.95,-5.071860489,-5.395572
132diet_563,273.15,-4.100690321,-3.6520514
200meth_808,302.75,-4.241349305,-4.1152925
159chlo_656,334.25,-8.498912021,-6.8336935
032pipe_131,343.15,-3.764796492,-4.0695186
177trie_722,333.15,-1.633802247,-1.7805314
test3007,298.0,-10.32,-8.800496
165chlo_671,308.15,0.195233076,-0.17652822
138isob_577,353.35,-1.057458389,-0.79644203
032pipe_131,333.15,-4.021726359,-4.276057
091buta_380,273.15,-3.747873673,-3.337264
013hept_55,333.15,-2.572901463,-3.1004343
0137ethb,298.0,-1.3,-0.69072914
test1021,298.0,-1.5,-1.3387783
169tric_679,323.15,-1.412065456,-1.2260889
249cycl_989,298.0,1.171694148,1.0259749
021benz_92,313.15,-6.278127244,-5.999467
146hexa_604,343.15,-1.253439182,-0.9384969
188pent_765,313.15,-3.595128826,-3.6259904
255cycl_1006,298.15,0.775682315,0.50485694
028cycl_111,343.45,-4.280303701,-4.2841845
169tric_679,353.15,-1.018630707,-0.76104987
137ethy_576,291.2,-0.91545672,-1.1706358
252phen_995,291.0,-3.938954943,-3.4290557
181diis_741,293.15,-3.433170889,-3.1409645
202meth_816,293.15,-2.232332386,-1.9003445
145buty_600,273.15,-4.17457841,-3.526147
053tetr_227,298.15,-1.332200328,-1.0337311
135dich_572,318.15,-2.761728623,-2.9683075
0433pho,298.0,-6.61,-7.2168446
120dibr_490,288.15,-2.175023078,-1.6659541
098dime_400,353.15,-5.304821503,-5.4024353
052diet_222,333.15,-0.826975415,-0.77689344
141dich_589,313.15,-1.083100606,-0.86678946
228dime_933,282.75,-6.878928577,-6.999384
174hexa_712,313.25,2.997195242,2.3686762
111prop_455,293.15,-3.596471076,-3.2686672
066etha_268,343.15,-6.044388052,-5.7264004
218tetr_891,363.15,-3.561197208,-3.3801146
054trif_228,303.15,-4.010010508,-3.7007804
0239oct,298.0,-2.88,-3.170187
052diet_222,303.15,-1.480867568,-1.3984025
0055ocr,298.0,-5.87,-5.7405877
011pent_43,298.0,-4.533571514,-4.4725924
242tric_970,353.15,0.691091524,0.14813888
031pent_128,353.15,-2.292928995,-1.8504888
0109pip,298.0,-7.4,-8.231852
229ethe_940,286.95,1.113125536,0.47286654
198isoq_797,310.15,-5.30054348,-5.2547507
083hexa_352,363.15,3.81932957,3.8271766
125dibu_519,304.05,-0.816720587,-0.66533256
105ethy_425,353.35,-2.199286724,-1.8138311
133acet_570,318.15,-3.452514907,-3.2581205
210buty_854,273.15,-3.397420521,-2.6573753
185acen_753,291.0,-3.340874818,-3.1404133
028cycl_111,363.65,-3.918320514,-3.8473325
134brom_571,288.35,-1.701753694,-1.5779783
223octa_909,293.15,-6.24110992,-5.9604435
0141dim,298.0,-1.83,-1.4141873
092meth_382,323.15,-3.979735262,-3.9529986
070prop_277,303.15,-2.435664268,-2.4668765
039dime_156,312.65,-2.367045567,-2.0842068
169tric_679,308.15,-1.710220816,-1.505155
259prop_1021,312.65,-1.698380824,-1.439224
091buta_380,343.15,-1.968496492,-1.7621874
137ethy_576,293.06,-0.856491759,-1.127209
060dibr_238,293.15,-2.12713469,-2.0021172
101dime_406,293.15,-1.966160967,-2.013956
146hexa_604,283.15,-3.124159514,-2.9804964
196ethy_784,303.75,-1.9469473,-1.8389195
229ethe_940,328.05,1.773009867,1.2092639
042cycl_160,343.65,-4.031408428,-4.2078505
233tetr_950,333.15,3.719624864,3.6869073
0471dim,298.0,-5.22,-4.634915
025meth_96,302.99,-4.298320895,-4.2783203
0012met,298.0,2.52,1.8470203
228dime_933,312.65,-6.211670843,-6.1542645
137ethy_576,291.05,-0.953156453,-1.174171
182trim_748,283.0,-0.984516043,-1.0600743
