Mol,Temp,y,y_pred
240meth_959,273.15,-6.102084897,-5.841481
267octa_1065,323.15,-2.502444729,-2.2539387
179cycl_732,308.35,0.41240561,0.47566056
211pent_864,282.25,-3.047742019,-3.1642404
066etha_268,373.15,-5.068901033,-5.262788
0184bro,298.0,-0.41,-0.21289778
214acry_885,313.15,-3.021683187,-2.8008265
184carb_752,274.15,-0.130211204,-0.45936108
271isob_1080,303.95,-2.007966703,-2.1722872
271isob_1080,323.45,-1.577570992,-1.7938137
259prop_1021,302.75,-2.004967685,-1.8966532
test1009,298.0,-7.7,-7.9981804
092meth_382,293.15,-4.774856876,-4.7151527
271isob_1080,333.55,-1.360351432,-1.6212326
0412clt,298.0,-1.92,-1.6865332
070prop_277,277.15,-3.023060056,-2.7993321
156ethy_639,343.35,-1.67546489,-1.8131133
059dich_237,303.15,-1.235009816,-1.2007072
085meth_357,362.15,-1.921979564,-2.0584826
015quin_71,274.15,-4.285572751,-4.7713723
095pent_387,343.25,-2.346348812,-2.2259014
008cycl_28,333.65,-4.25829599,-4.084342
059dich_237,311.55,-1.008351342,-1.0399728
0134nit_chloroform,298.0,-7.78,-6.9674664
095pent_387,298.15,-3.318376341,-3.261353
0008noc_chloroform,298.0,-5.25,-4.4462695
263isob_1051,363.35,-2.665002844,-2.3995728
0077cyc_carbontet,298.0,-5.26,-4.3959618
059dich_237,298.15,-1.368532285,-1.2985017
266dime_1063,288.0,2.6,2.5771906
037hept_141,313.45,-3.261570612,-3.1178236
039dime_156,343.55,-1.714437823,-1.5033293
095pent_387,333.25,-2.540916889,-2.3857288
166chlo_672,278.15,-1.464931029,-1.389399
131hept_553,298.15,-3.061364882,-3.0325994
test0004,298.0,1.07,0.6945584
0047pro_carbontet,298.0,-3.64,-3.2414641
131hept_553,353.35,-1.5744268,-1.3223623
012prop_53,353.15,-3.38964728,-3.6947865
0216amm_carbontet,298.0,-1.06,-0.9732199
211pent_864,312.75,-2.088405076,-2.1812901
195meth_783,343.15,-3.897321781,-4.1956606
257dime_1010,303.15,-1.792719942,-1.5358641
217buty_888,273.15,-5.168854401,-5.3332195
133acet_570,313.15,-3.512938714,-3.575592
090nmet_375,303.15,-7.538538473,-7.658803
132diet_563,273.15,-4.100690321,-4.004137
203pent_817,273.15,-4.94888969,-5.1695642
115nmet_477,313.15,-3.32901791,-3.2506604
033diet_133,345.15,-0.849298323,-0.81603825
059dich_237,346.55,-0.342437954,-0.34406257
165chlo_671,353.15,0.847706505,0.7116685
165chlo_671,345.65,0.744177695,0.5920234
111prop_455,288.75,-3.772777589,-3.6891365
105ethy_425,343.65,-2.46384893,-2.457799
260ethy_1031,353.65,-0.73045726,-1.1574557
188pent_765,333.15,-3.017373631,-3.0287206
214acry_885,309.15,-3.073970804,-2.814768
120dibr_490,308.15,-1.773344682,-1.6344956
173buty_702,292.85,-2.785836752,-2.514149
099prop_404,337.65,2.764232183,2.4437206
207anis_848,283.35,-3.191071389,-2.795343
0151phy_chloroform,298.0,-10.3,-9.196848
241fluo_969,282.65,-1.188930562,-1.1251448
063octa_255,288.15,-4.387170512,-4.3852715
017etha_82,298.51,-6.845807778,-6.6851187
189nmet_775,273.15,-7.459919001,-7.9639196
209dich_853,293.15,-1.636135824,-1.5267992
239cisd_958,283.15,-1.209906549,-1.2128525
180meth_733,332.95,-3.342627713,-3.2630835
269chlo_1078,343.15,-0.227564948,-0.17307782
147hydr_614,353.15,-8.62758483,-8.292592
092meth_382,353.15,-3.364443578,-3.563204
0104dim_chloroform,298.0,-3.69,-3.9147463
122pipe_500,303.15,-7.1328148,-7.268237
079octy_321,292.15,-3.026209144,-2.5999117
060dibr_238,273.15,-2.538652625,-2.3383825
050meth_212,273.15,-4.699572637,-4.7841067
191dime_777,332.8,-0.939296062,-0.8493202
115nmet_477,303.15,-3.695654158,-3.5310824
117chlo_487,277.15,-3.030028247,-3.145004
235acet_952,273.15,-10.34975409,-10.347125
073meth_294,343.15,-3.737874644,-3.6939886
045meth_187,333.15,1.231122732,1.1939719
183vale_749,273.15,-4.194742136,-3.4978542
100tetr_405,363.15,3.00346515,2.786402
249cycl_989,317.95,1.477081598,1.4492943
test1012,298.0,-17.2,-17.60257
106pent_428,313.25,2.731728881,2.4514601
0099but,298.0,-2.55,-2.5942788
028cycl_111,292.35,-5.69589197,-5.764145
168nitr_678,313.15,-3.329484575,-3.3617132
199diet_798,293.85,-6.577271744,-6.7116747
103brom_414,293.15,-0.595164781,-0.702175
067anil_274,369.85,-5.145716509,-5.143694
269chlo_1078,373.15,0.013767853,0.12396932
132diet_563,303.15,-3.14028327,-3.0291424
248tric_988,283.55,-3.153775117,-3.001048
053tetr_227,353.15,-0.300695063,-0.3147881
187diet_755,312.95,-5.071860489,-4.926955
151tetr_627,303.15,0.215242051,0.025120258
0058hep_chloroform,298.0,-7.53,-6.601595
0177bro,298.0,-0.82,-0.84834397
140tric_586,293.15,1.354161932,1.3609788
037hept_141,293.65,-4.106557361,-3.9253857
016nona_72,283.05,-4.719175379,-4.5335693
131hept_553,322.95,-2.298559617,-2.1193361
269chlo_1078,273.15,-1.18306704,-0.8123919
067anil_274,339.45,-5.528827901,-5.6406813
195meth_783,363.15,-3.562823628,-3.8110607
095pent_387,313.45,-2.956337802,-2.8003654
016nona_72,343.35,-1.824563799,-2.0487456
151tetr_627,298.15,0.076561852,-0.07989907
115nmet_477,323.15,-2.991143212,-2.9908507
107meth_432,278.25,-6.006046457,-5.914997
094trim_384,286.65,-5.883209253,-5.686158
0129ben_carbontet,298.0,-6.28,-5.365823
225ethe_920,297.15,-1.370730013,-1.3587644
