Mol,Temp,y,y_pred
test4008,298.0,-0.12,-0.4160576
pentafluoroethane_methanol,298.0,-1.59,-1.6046766
0142die,298.0,-1.43,-1.7044576
269chlo_1078,333.15,-0.329074248,-0.79354084
n191_chloroform,298.0,-14.28,-14.611195
235acet_952,283.15,-10.12130078,-9.9152355
158hexa_646,306.19,-3.96554836,-4.6487494
199diet_798,302.85,-6.245631389,-6.4086933
0244tet_chloroform,298.0,-5.84,-5.048474
0090hex_carbontet,298.0,-6.99,-6.673565
088tolu_370,308.0,-0.586379221,-0.8947966
158hexa_646,293.15,-4.485852177,-5.15983
209dich_853,298.15,-1.494507894,-1.962399
0129ben,298.0,-4.1,-4.0372777
156ethy_639,292.65,-2.908579702,-2.6756928
247hydr_987,298.15,-0.546060762,-0.6841301
014pent_65,293.15,-2.770546841,-3.0855632
115nmet_477,363.15,-1.910227963,-2.1742878
189nmet_775,298.8,-6.659312947,-6.679
180meth_733,283.25,-4.904186753,-5.5178823
106pent_428,277.15,1.710171351,1.148417
067anil_274,298.55,-6.271646655,-6.6333256
0506nit_chloroform,298.0,-4.68,-4.4406824
223octa_909,293.15,-6.24110992,-6.0729284
169tric_679,293.15,-2.043456227,-2.4298532
test1021,298.0,-1.5,-1.4995869
105ethy_425,313.15,-3.232968139,-3.04088
174hexa_712,303.15,2.684336021,2.0117838
0035ben_chloroform,298.0,-4.64,-5.2160673
063octa_255,283.15,-4.67994887,-5.442171
0104dim_chloroform,298.0,-3.69,-4.0481086
n200_chloroform,298.0,-14.31,-14.334717
014pent_65,313.15,-2.167314925,-2.611926
110meth_451,343.15,-4.975509833,-5.143983
191dime_777,373.15,-0.494125408,-1.0018803
057trim_232,333.15,-3.516453746,-3.794854
007meth_27,353.15,-3.524452295,-3.8721585
175tetr_718,293.05,1.049856755,-0.18472695
182trim_748,288.0,-0.883190212,-1.2197312
033diet_133,311.15,-1.640400244,-2.3622081
188pent_765,293.15,-4.271841936,-4.929121
163cycl_666,278.0,-0.19,-0.43048906
018buta_84,371.05,-3.131734721,-3.365121
190pxyl_776,303.0,-0.581591751,-0.82584405
063octa_255,363.65,-1.521925046,-2.0234783
0160chl,298.0,-0.56,-1.0809813
213octa_875,353.15,-1.674385857,-2.2217293
