Mol,Temp,y,y_pred
0118ani_carbontet,298.0,-6.1,-4.400939
257dime_1010,303.15,-1.792719942,-1.8451747
248tric_988,283.55,-3.153775117,-2.8913958
0240met_carbontet,298.0,-7.19,-5.7595477
106pent_428,372.25,3.89889081,3.3093648
209dich_853,273.15,-2.283474728,-2.0871372
257dime_1010,373.15,-0.886477098,-0.88885164
261hexa_1039,323.15,-3.132230003,-3.0270863
222meth_906,333.15,-3.014299278,-2.8912125
140tric_586,313.15,1.761679364,1.9937634
161diet_661,283.15,-4.676248763,-3.9221337
180meth_733,323.05,-3.549258761,-3.4297242
222meth_906,342.25,-2.96147256,-2.7551448
257dime_1010,283.15,-2.187964782,-2.2256615
209dich_853,333.15,-0.698415446,-0.9854996
0111die_carbontet,298.0,-4.12,-3.6215708
162phen_665,363.15,-5.045283357,-4.9197283
265dime_1062,283.15,-5.139040906,-4.9459867
260ethy_1031,353.65,-0.73045726,-0.46235543
001tetr_1,274.15,-0.603803678,-0.0068491697
183vale_749,313.15,-3.242109941,-3.073775
245pyri_978,313.15,-4.35233334,-4.0756035
243meth_971,303.75,-4.393918625,-4.221071
204meth_822,293.15,-3.18946699,-2.4654226
073meth_294,283.15,-5.210837432,-4.886584
031pent_128,323.15,-2.882769865,-2.1723166
110meth_451,293.15,-6.50945686,-5.768271
120dibr_490,308.15,-1.773344682,-1.6591543
test1035,298.0,-5.4,-6.0466704
046ethy_190,363.65,-2.213836604,-2.133014
0035ben,298.0,-0.87,-1.170491
0019met,298.0,1.71,1.2138975
055nitr_229,343.15,-8.832099938,-7.9317164
188pent_765,323.15,-3.29427052,-3.3456633
0222tri_carbontet,298.0,-8.6,-8.1349125
036furf_139,317.15,-4.949609006,-4.747362
036furf_139,334.15,-4.758897346,-4.438799
031pent_128,312.75,-3.083437256,-2.4305584
072meth_293,298.35,2.075410348,2.1453755
242tric_970,353.36,0.660122636,0.45592356
261hexa_1039,333.25,-2.808163205,-2.783405
0112Nme,298.0,-7.77,-7.3543763
0219hyd,298.0,-0.7,-0.7788532
046ethy_190,323.15,-3.230873602,-3.2821684
003buta_12,303.25,2.261881732,1.8666911
110meth_451,373.15,-4.225970111,-3.4887803
0056mcr_chloroform,298.0,-6.7,-5.893667
160nndi_659,303.15,-3.35809101,-3.258588
224benz_919,298.0,-4.137804958,-3.657509
072meth_293,293.65,1.988953675,2.1284997
197trif_794,333.15,-3.535379457,-3.2432218
033diet_133,355.15,-0.658185222,-1.0443794
027oxop_109,288.0,-6.980948825,-6.929602
179cycl_732,307.95,0.402329613,0.13863885
0104dim,298.0,-4.29,-3.5587254
0141dim,298.0,-1.83,-1.8971145
0076but_carbontet,298.0,-4.09,-3.41505
061cycl_241,313.15,-4.990587974,-4.983949
122pipe_500,333.15,-5.784941384,-5.4189515
152dime_628,273.15,-5.03643295,-4.478566
046ethy_190,273.15,-5.386760268,-5.244808
248tric_988,293.15,-2.761510798,-2.7096786
019dich_90,318.15,0.657994769,0.36361444
0116pyr_chloroform,298.0,-6.45,-6.2559414
219acet_898,283.15,-3.813869402,-3.6031575
222meth_906,333.25,-3.021256603,-2.8897846
0091met,298.0,-2.78,-3.8228688
test1049,298.0,-16.4,-16.240677
179cycl_732,317.95,0.635698943,0.2844559
218tetr_891,363.15,-3.561197208,-3.1581397
204meth_822,303.15,-2.89145135,-2.1688032
117chlo_487,291.15,-2.666540853,-3.1188698
128isop_541,312.85,-1.885936515,-1.3644133
033diet_133,280.65,-2.503292231,-2.3363428
020nitr_91,313.15,-3.817947092,-3.5358346
214acry_885,309.15,-3.073970804,-3.0018756
190pxyl_776,288.0,-0.981891264,-1.2693566
248tric_988,303.25,-2.392583394,-2.4932532
110meth_451,363.15,-4.462532609,-3.724853
171hept_682,273.15,-7.731990535,-6.682349
145buty_600,333.15,-3.000275791,-3.0272498
200meth_808,302.75,-4.241349305,-4.27682
129naph_551,276.7,-3.007581574,-2.9664934
110meth_451,343.15,-4.975509833,-4.278791
001tetr_1,323.15,0.6708965,0.73616374
149etha_616,293.15,1.787521811,1.8320799
008cycl_28,333.65,-4.25829599,-3.543128
209dich_853,308.15,-1.284488797,-1.4355906
213octa_875,353.15,-1.674385857,-1.839489
097trim_399,300.0,-0.753431734,-0.95264375
063octa_255,343.25,-2.061198793,-1.9226098
233tetr_950,323.15,3.581537291,3.783584
204meth_822,298.15,-3.047890685,-2.3038728
180meth_733,303.15,-4.220372227,-4.0081515
243meth_971,353.25,-3.03919684,-2.7885988
033diet_133,281.65,-2.45752205,-2.3130054
152dime_628,343.15,-3.162799401,-2.571741
168nitr_678,293.15,-3.758908624,-3.4146256
266dime_1063,288.0,2.6,1.5332952
161diet_661,343.15,-2.617440494,-2.4830146
168nitr_678,283.15,-3.974989082,-3.554924
