Mol,Temp,y,y_pred
048urea_201,353.15,-12.63190684,-11.742263
143dich_594,275.15,-2.332039623,-2.1970897
215nndi_886,303.15,-7.594251712,-7.386554
210buty_854,273.15,-3.397420521,-3.5559847
053tetr_227,298.15,-1.332200328,-1.5579593
021benz_92,318.15,-6.144603082,-5.9132814
008cycl_28,292.65,-5.201534326,-4.889168
006hydr_26,313.15,-9.856323526,-9.920638
010brom_40,298.0,-0.401464963,-0.84513533
191dime_777,273.15,-2.000506703,-1.7430525
269chlo_1078,333.15,-0.329074248,-0.41136456
0048pro_carbontet,298.0,-3.15,-3.2076344
053tetr_227,343.15,-0.434904564,-0.64658904
259prop_1021,293.25,-2.39951135,-2.4048586
156ethy_639,292.65,-2.908579702,-2.6842215
269chlo_1078,293.15,-0.849191194,-0.79771113
0055ocr_carbontet,298.0,-6.51,-5.7303133
173buty_702,353.25,-1.191799389,-0.9596733
227hept_923,292.95,-3.234698687,-2.9570656
007meth_27,343.15,-3.695470077,-3.784192
062hexa_251,323.15,-4.038347997,-4.1822085
072meth_293,298.35,2.075410348,1.8727567
064prop_265,303.15,-4.243947736,-4.5520706
048urea_201,308.57,-13.70558151,-13.009863
152dime_628,333.15,-3.386484323,-3.5673928
isobutane_methanol,298.0,-1.53,-1.7200217
001tetr_1,288.15,-0.121963463,-0.097087145
140tric_586,333.15,2.120685474,2.1037252
213octa_875,363.25,-1.41430983,-1.9004822
208tetr_850,303.15,-2.340994063,-2.4788399
016nona_72,303.15,-3.606983178,-3.7673569
125dibu_519,353.85,1.348657928,0.6366651
157mxyl_645,291.2,-0.945301047,-1.0375128
149etha_616,297.75,1.920638431,1.4290421
110meth_451,343.15,-4.975509833,-4.978594
031pent_128,292.85,-3.565244671,-2.9496944
181diis_741,313.15,-2.561422465,-2.1016726
126nitr_529,293.15,-3.777940861,-3.5920813
243meth_971,353.25,-3.03919684,-3.3406591
007meth_27,313.15,-4.253220366,-4.2826605
184carb_752,273.15,-0.154655443,-0.13321257
105ethy_425,303.65,-3.345205454,-3.0474226
243meth_971,323.15,-3.755338086,-4.166103
215nndi_886,317.9,-7.276488061,-7.104768
120dibr_490,303.15,-1.86397772,-1.9668322
n203,298.0,-18.17,-16.749825
111prop_455,293.15,-3.596471076,-3.465701
017etha_82,277.78,-7.195459483,-7.008832
059dich_237,273.15,-2.183638555,-1.9961404
135dich_572,318.15,-2.761728623,-3.352606
157mxyl_645,293.0,-0.923067289,-0.98462915
149etha_616,303.65,2.03951224,1.5007305
0093met,298.0,-3.32,-3.2719734
236ethy_953,323.15,-4.333950227,-4.29263
120dibr_490,308.15,-1.773344682,-1.8994207
211pent_864,312.75,-2.088405076,-2.0837834
048urea_201,373.15,-12.12655834,-11.083061
204meth_822,323.25,-2.355004893,-2.150591
268meth_1075,313.15,-3.671997094,-3.918324
104buty_415,282.45,-2.34364044,-2.4772863
0091met,298.0,-2.78,-2.6269274
204meth_822,333.55,-2.104828432,-1.957051
091buta_380,283.15,-3.437011306,-3.4278631
0409clb,298.0,0.07,-0.1875298
260ethy_1031,273.15,-3.007277515,-3.2146974
045meth_187,293.15,0.658894474,0.28726935
069meth_276,273.15,-3.149540373,-3.2432675
162phen_665,348.15,-5.252259092,-5.2127085
0169chl,298.0,-0.59,-0.40059447
test2007,298.0,-18.06,-17.997883
192tric_778,343.15,0.720175812,0.60954404
227hept_923,363.65,-1.341180677,-1.4812518
124meth_515,302.85,-4.736179823,-4.339024
n007,298.0,-13.8,-13.279207
204meth_822,303.15,-2.89145135,-2.5011477
0176pdi_chloroform,298.0,-6.32,-5.923216
145buty_600,273.15,-4.17457841,-4.037954
