Name,ρV,N br,,N db,,N bz,,N OH,,N ph,,N Hal,N eth,,,N ald,,N ket,,Δμ PW hyd,,Δμ GF  hyd,,Δμ SDC+PW hyd,,Δμhyd SDC+GF,,Δμhyd  exp,,
1-chlorobutane,3.93,0,0,0,0,0,1,0,0,0,11.32,4.52,-0.31,-0.45,-0.16,a
1-chloroheptane,5.48,0,0,0,0,0,1,0,0,0,13.92,3.80,-0.05,-0.19,0.29,a
1-chlorohexane,4.97,0,0,0,0,0,1,0,0,0,13.14,4.13,-0.06,-0.18,0.00,a
1-chloropentane,4.45,0,0,0,0,0,1,0,0,0,12.20,4.32,-0.21,-0.32,-0.07,a
1-chloropropane,3.42,0,0,0,0,0,1,0,0,0,10.48,4.88,-0.37,-0.42,-0.30,a
2-chloro-2-methylpropane,3.78,2,0,0,0,0,1,0,0,0,10.83,4.31,1.57,2.02,1.09,a
2-chlorobutane,3.85,1,0,0,0,0,1,0,0,0,10.98,4.38,0.54,0.74,0.00,a
2-chloropropane,3.37,1,0,0,0,0,1,0,0,0,10.28,4.80,0.58,0.86,-0.25,a
chloroethane,2.9,0,0,0,0,0,1,0,0,0,9.29,4.77,-0.78,-0.86,-0.63,a
chloromethane,2.35,0,0,0,0,0,1,0,0,0,7.74,4.20,-1.49,-1.78,-0.54,a
